id,user_id,deck_id,type,front,back,hint,tags,is_pinned,is_archived,linked_card_ids,prerequisite_card_ids,order,created_at,updated_at
fcf3b86a-c299-4964-b229-ea2e11d90305,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,A gene controls a general function — what do its alleles produce?,Specific variant expressions of that function,,[],false,false,[],[],44,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
6547f861-3861-4c5d-a151-40707ea8f4a3,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,5c703bdb-7cb7-424c-9746-9c659997b959,basic,A mutation destroys a gene's termination sequence. What is the most direct consequence for transcription?,"RNA polymerase would fail to stop at the correct point, since termination depends on recognising this sequence.",,[],false,false,[],[],45,2026-07-13 16:15:35.957+00,2026-07-13 16:15:35.957+00
d74beb48-3e1f-4ae1-8ad8-fd7eb7d8ed33,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,99d6888b-cfee-4164-8d82-7ffec9d21c46,basic,A point mutation changes a codon but the same amino acid is still produced. What type of mutation is this and why does it occur?,"A silent mutation; it occurs because the genetic code is degenerate, so multiple codons can code for the same amino acid.",,[],false,false,[],[],33,2026-07-13 16:17:39.742+00,2026-07-13 16:17:39.742+00
42bd7ba0-f07e-4428-840a-57f2b237d1e2,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,0baae41f-7ed7-48c8-ac0d-8a5e187171c5,basic,"According to Craig Dietrich, what was the status of Chinese women before the Marriage Law?",Second-class citizens,,[],false,false,[],[],52,2026-07-02 15:04:27.133+00,2026-07-02 15:04:27.133+00
d566e377-4b7d-4bc4-9e84-809f74e7e66c,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,0baae41f-7ed7-48c8-ac0d-8a5e187171c5,basic,"According to Frank Dikotter, what motivated some participants in Speak Bitterness sessions?",Generations of accumulated resentment against those who had oppressed them,,[],false,false,[],[],54,2026-07-02 15:04:27.133+00,2026-07-02 15:04:27.133+00
0d34db91-f4ae-46e2-9e8a-e9447c537ea2,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,0baae41f-7ed7-48c8-ac0d-8a5e187171c5,basic,"According to Jack Gray, what did the Five Antis Campaign represent politically?",An opportunity to pulverise China's capitalist tendencies,,[],false,false,[],[],58,2026-07-02 15:04:27.133+00,2026-07-02 15:04:27.133+00
036a407d-cf9a-4c8b-8f19-ebffa6a7fed2,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,0baae41f-7ed7-48c8-ac0d-8a5e187171c5,basic,"According to Phillip Short, what tension existed at Speak Bitterness sessions?",Peasants who killed landlords with their bare hands vs. passive spectators who never rose up,,[],false,false,[],[],53,2026-07-02 15:04:27.133+00,2026-07-02 15:04:27.133+00
92f4aec5-58e8-4942-85b7-4369f273e744,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,0baae41f-7ed7-48c8-ac0d-8a5e187171c5,basic,"According to Tom Ryan, how was the Korean War received domestically in China?",As a victory for the PRC after a century of humiliating defeats by foreign powers,,[],false,false,[],[],55,2026-07-02 15:04:27.133+00,2026-07-02 15:04:27.133+00
6bd84d81-fb84-4e99-81bb-a4d55b322f2e,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,0baae41f-7ed7-48c8-ac0d-8a5e187171c5,basic,"According to Trevor Sowdon, how does the Three Antis Campaign relate to the Rectification Campaigns?",It was an extension of Mao's Rectification Campaign,,[],false,false,[],[],57,2026-07-02 15:04:27.133+00,2026-07-02 15:04:27.133+00
979988fd-082b-451c-9850-cb872cbcf9da,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,0baae41f-7ed7-48c8-ac0d-8a5e187171c5,basic,"According to Trevor Sowdon, why did Mao tolerate certain classes despite ideological opposition?",He felt obliged to tolerate them earlier in order to maintain continuity and administration,,[],false,false,[],[],56,2026-07-02 15:04:27.133+00,2026-07-02 15:04:27.133+00
a8932484-2f6f-4638-aea2-df853dc57708,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,e7adc0c0-4bfb-46db-ac01-27b6bf9ffe93,basic,Approximate phenotypic ratio from crossing two heterozygous plants?,About 3:1 (dominant:recessive),,[],false,false,[],[],5,2026-07-07 06:10:44.321+00,2026-07-07 06:10:44.321+00
53bd2d73-c202-4912-b1ed-2bb4f5288e90,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,Approximately how many base pairs make up an average gene?,About 3000,,[],false,false,[],[],41,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
8c0946d9-476f-491b-a3c3-a1939f8c6744,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,0baae41f-7ed7-48c8-ac0d-8a5e187171c5,basic,Approximately how many landlords were executed during Speak Bitterness sessions?,1.5 million,,[],false,false,[],[],17,2026-07-02 15:04:27.133+00,2026-07-02 15:04:27.133+00
69ddf0de-b746-40ad-8ee2-b0663ac9aaed,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,e7adc0c0-4bfb-46db-ac01-27b6bf9ffe93,basic,Are epigenetic changes due to changes in DNA base sequence?,No,,[],false,false,[],[],45,2026-07-07 06:10:44.321+00,2026-07-07 06:10:44.321+00
b07620e9-4319-4edf-b524-3f7a7e7e1069,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,Are mitochondrial and chloroplast DNA replicated with nuclear DNA or independently?,Independently,,[],false,false,[],[],37,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
008554d0-5bcb-4875-b064-8b1a74b4076c,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,Besides cells,where else can RNA serve as genetic material?,,[],false,false,[],[],39,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
bc63d74d-7dc0-4d7c-bb63-5e9571444430,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,dfcc751d-6f9c-4265-adea-42f7e95b457a,basic,Between liquid water and solid ice at the same temperature which is more dense?,Liquid water is more dense than solid ice.,,[],false,false,[],[],32,2026-07-13 16:41:28.963+00,2026-07-13 16:41:28.963+00
52a35b1d-c519-4153-8fc8-d3f4556b2c88,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,e7adc0c0-4bfb-46db-ac01-27b6bf9ffe93,basic,Can epigenetic changes be inherited across generations?,Yes,,[],false,false,[],[],46,2026-07-07 06:10:44.321+00,2026-07-07 06:10:44.321+00
3d4db88e-ee90-4fff-808b-64796154582d,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,99d6888b-cfee-4164-8d82-7ffec9d21c46,basic,Compare gene mutations and chromosomal mutations.,"A gene mutation affects the DNA sequence of a single gene, while a chromosomal mutation affects the structure of a whole chromosome.",,[],false,false,[],[],16,2026-07-13 16:17:39.742+00,2026-07-13 16:17:39.742+00
fad887ae-5d30-44d3-80ff-5e7c06d53115,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,99d6888b-cfee-4164-8d82-7ffec9d21c46,basic,Compare missense and nonsense substitutions.,"A missense substitution changes a codon to specify a different amino acid, while a nonsense substitution changes a codon into a premature stop codon.",,[],false,false,[],[],31,2026-07-13 16:17:39.742+00,2026-07-13 16:17:39.742+00
931a1f42-20f7-47d5-90db-44b8dc2070f4,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,99d6888b-cfee-4164-8d82-7ffec9d21c46,basic,Compare the effect of an insertion mutation with a partial reading frame shift on protein function.,"An insertion causes a permanent frame shift affecting all downstream amino acids and usually a non-functional protein, while a partial frame shift only affects amino acids between the insertion and deletion, so some function may be retained.",,[],false,false,[],[],32,2026-07-13 16:17:39.742+00,2026-07-13 16:17:39.742+00
89abc681-8022-44a1-b148-935a2ac6749a,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,5c703bdb-7cb7-424c-9746-9c659997b959,basic,Compare the functions of the 5' cap and the poly-A tail on mRNA.,The 5' cap protects the transcript and helps the ribosome bind for translation; the poly-A tail stabilises the mRNA and allows its transport from the nucleus to the cytosol.,,[],false,false,[],[],26,2026-07-13 16:15:35.957+00,2026-07-13 16:15:35.957+00
f55979c3-739e-422b-83e8-8eb65bc3799b,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,5c703bdb-7cb7-424c-9746-9c659997b959,basic,Compare the reading directions of the template and coding strands.,"The template strand is read 3' to 5', while the coding strand is read 5' to 3'.",,[],false,false,[],[],14,2026-07-13 16:15:35.957+00,2026-07-13 16:15:35.957+00
c0cdbbaa-11b4-40a2-aeb8-6a0611b2ee08,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,Define a purine base structure.,Double-ringed structure,,[],false,false,[],[],28,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
0600597e-ea73-4adf-8b2e-92190b1263e6,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,Define a pyrimidine base structure.,Single-ringed structure,,[],false,false,[],[],30,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
ed9949c3-2853-42fa-9b70-c7d02cb3ff26,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,Define allele.,An alternative form of a gene,,[],false,false,[],[],42,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
04d9c78f-307d-45ca-83b8-78882939dffe,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,e7adc0c0-4bfb-46db-ac01-27b6bf9ffe93,basic,Define allele.,A variant form of a gene,,[],false,false,[],[],11,2026-07-07 06:10:44.321+00,2026-07-07 06:10:44.321+00
7cb136e5-9eab-4889-a9c4-62f1195e679f,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,e7adc0c0-4bfb-46db-ac01-27b6bf9ffe93,basic,Define carrier (genetics).,An organism with one recessive allele that doesn't show the trait,,[],false,false,[],[],26,2026-07-07 06:10:44.321+00,2026-07-07 06:10:44.321+00
13e955a9-0a00-4b67-b127-d46463eae697,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,Define centromere.,The region joining two sister chromatids,,[],false,false,[],[],10,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
ad5cfc61-1c3d-40ac-9a72-9b81831ea5b3,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,Define chromatid.,One arm of a replicated chromosome,,[],false,false,[],[],11,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
f78a54ee-7c9d-4382-897c-5958558781f9,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,Define chromatin.,DNA packaged with histone proteins in the nucleus,,[],false,false,[],[],2,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
67315a79-5712-445f-9cdb-29fb9cf08065,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,Define chromosome.,A tightly coiled bundle of DNA,,[],false,false,[],[],0,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
d09e8397-dc33-402a-a33b-82642b116ca5,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,Define conjugation.,Transfer of plasmid DNA between bacteria via a sex pilus,,[],false,false,[],[],17,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
b74a1745-6796-4455-a9e7-b70b88c9e816,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,e7adc0c0-4bfb-46db-ac01-27b6bf9ffe93,basic,Define epigenetics.,Study of changes in gene expression without altering the DNA sequence,,[],false,false,[],[],44,2026-07-07 06:10:44.321+00,2026-07-07 06:10:44.321+00
bad66a2d-20d7-4d52-8337-db11788fe8d0,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,Define gene.,A sequence of bases on a chromosome that codes for a specific protein,,[],false,false,[],[],40,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
91285d7f-5c29-4a81-a215-083f1400bd5f,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,Define genome.,The complete set of genetic information in an organism,,[],false,false,[],[],45,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
de1eb255-cdfc-439f-b099-9e84cbf42fe7,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,e7adc0c0-4bfb-46db-ac01-27b6bf9ffe93,basic,Define genotype.,The genetic makeup (alleles) carried by an organism,,[],false,false,[],[],12,2026-07-07 06:10:44.321+00,2026-07-07 06:10:44.321+00
acbd1d94-16fe-431b-b4e9-e4f1c3a39495,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,e7adc0c0-4bfb-46db-ac01-27b6bf9ffe93,basic,Define hemizygous genotype.,Having only one allele for a gene (occurs in males for X/Y-linked genes),,[],false,false,[],[],21,2026-07-07 06:10:44.321+00,2026-07-07 06:10:44.321+00
de57c86f-04db-4232-b022-53d316cafffd,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,e7adc0c0-4bfb-46db-ac01-27b6bf9ffe93,basic,Define heterozygous.,Two different alleles for a gene,,[],false,false,[],[],15,2026-07-07 06:10:44.321+00,2026-07-07 06:10:44.321+00
441bf2ab-ae2f-4587-903b-1d1bf9c353e4,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,e7adc0c0-4bfb-46db-ac01-27b6bf9ffe93,basic,Define homozygous.,Two identical alleles for a gene,,[],false,false,[],[],14,2026-07-07 06:10:44.321+00,2026-07-07 06:10:44.321+00
689d4fa4-a114-47ac-9582-6141cf135132,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,e7adc0c0-4bfb-46db-ac01-27b6bf9ffe93,basic,Define phenotype.,The observable physical properties of an organism,,[],false,false,[],[],13,2026-07-07 06:10:44.321+00,2026-07-07 06:10:44.321+00
a772fd1b-3001-4666-a1e0-088bd3971112,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,Define plasmid.,A small accessory circular DNA molecule in bacteria,,[],false,false,[],[],15,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
08ecb102-ef81-48b4-b1c1-55211da49823,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,Do bacteria have membrane-bound organelles?,No,,[],false,false,[],[],12,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
1ad4dd5a-2376-4f25-933a-1451ee42ae4a,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,Do closely related species always have similar chromosome numbers?,"No, numbers can differ markedly (e.g. human 46, chimpanzee 48)",,[],false,false,[],[],20,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
2a2248c6-dfed-466e-822a-19cf567b9392,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,2f083a62-6e92-4f20-a9d9-ba0f78cf72bf,basic,Do plasmids replicate independently of the main bacterial chromosome?,Yes,,[],false,false,[],[],16,2026-07-07 06:09:54.704+00,2026-07-07 06:09:54.704+00
8ab99f4b-fbb7-4453-99bc-3357d300bfea,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,e7adc0c0-4bfb-46db-ac01-27b6bf9ffe93,basic,Dominant vs recessive pod colour in Mendel's peas?,Green dominant,,[],false,false,[],[],9,2026-07-07 06:10:44.321+00,2026-07-07 06:10:44.321+00
0abfe60d-7c40-4cde-abd8-f42c8f95179b,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,e7adc0c0-4bfb-46db-ac01-27b6bf9ffe93,basic,Dominant vs recessive pod shape in Mendel's peas?,Inflated dominant,,[],false,false,[],[],8,2026-07-07 06:10:44.321+00,2026-07-07 06:10:44.321+00
74048666-2b97-433c-9eb7-a322de467826,bd7d53fd-76e2-4330-ab15-0e0a432f7b68,e7adc0c0-4bfb-46db-ac01-27b6bf9ffe93,basic,Dominant vs recessive seed colour in Mendel's peas?,Yellow dominant,,[],false,false,[],[],7,2026-07-07 06:10:44.321+00,2026-07-07 06:10:44.321+00
